epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.8510058522224426,0.9000842571258545,0.296932578086853,0.001,0.9773603677749634,0.945815920829773,0.7783789038658142,0.7775660157203674,0.4682629704475403,0.8412794470787048,0.8633476495742798
1,0.8847253322601318,0.9388282299041748,0.245789036154747,0.001,0.9855594038963318,0.9764901995658875,0.781848132610321,0.7764582633972168,0.4625434875488281,0.844877302646637,0.8614024519920349
2,0.9069970846176147,0.9515998959541321,0.2196115106344223,0.001,0.9906526207923889,0.9857341051101685,0.7834570407867432,0.7781860828399658,0.45812198519706726,0.8513598442077637,0.8601954579353333
3,0.9179186820983887,0.9606041312217712,0.20124775171279907,0.001,0.9922710061073303,0.9882758259773254,0.7822436690330505,0.7763050198554993,0.4675050377845764,0.8414923548698425,0.8592228889465332
4,0.9262939691543579,0.9690349698066711,0.18201576173305511,0.001,0.9959778189659119,0.9911154508590698,0.7764819264411926,0.7685219049453735,0.4792758822441101,0.8334237933158875,0.8534824252128601
