epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.8169221878051758,0.678973376750946,0.43133190274238586,0.001,0.7277707457542419,0.7161507606506348,0.8177990913391113,0.7389699220657349,0.4138645827770233,0.7993959188461304,0.7981795072555542
1,0.8198590874671936,0.7338436841964722,0.4069840908050537,0.001,0.7931320071220398,0.8145637512207031,0.8177990913391113,0.7392470836639404,0.419159471988678,0.8057259917259216,0.8188766837120056
2,0.8292497992515564,0.75617516040802,0.3933854401111603,0.001,0.80738765001297,0.8527553081512451,0.8177990913391113,0.740633487701416,0.4281204342842102,0.8144806623458862,0.808788537979126
3,0.8256389498710632,0.7521951198577881,0.3980281352996826,0.001,0.8103445172309875,0.8311768770217896,0.8177979588508606,0.7442977428436279,0.4121750593185425,0.8170436024665833,0.8183911442756653
4,0.8334298729896545,0.7677016854286194,0.386725515127182,0.001,0.8288805484771729,0.8614492416381836,0.8161734342575073,0.7490013837814331,0.45256903767585754,0.8160244822502136,0.8330239057540894
5,0.8381761908531189,0.7744895219802856,0.3809313476085663,0.001,0.8342426419258118,0.8776541352272034,0.8266806602478027,0.7500661611557007,0.4245893061161041,0.8175992965698242,0.8398680686950684
6,0.837710976600647,0.7817912101745605,0.37896645069122314,0.001,0.8439831137657166,0.8756850957870483,0.796483039855957,0.7766238451004028,0.40773192048072815,0.8456810712814331,0.8521164059638977
7,0.8364092111587524,0.7873101830482483,0.37461140751838684,0.001,0.850608229637146,0.8886451125144958,0.7442517876625061,0.7517490386962891,0.518247127532959,0.8166994452476501,0.8531675338745117
8,0.8376301527023315,0.7856069207191467,0.3760238587856293,0.001,0.8470346331596375,0.8845130205154419,0.8097344040870667,0.7569005489349365,0.4546966850757599,0.8163563013076782,0.860217809677124
9,0.8395649194717407,0.7902684807777405,0.37196165323257446,0.001,0.8549454212188721,0.8942465782165527,0.8241831064224243,0.7708680629730225,0.4168497323989868,0.830747663974762,0.8631154298782349
10,0.8376793265342712,0.7902479767799377,0.3740345239639282,0.001,0.8590508103370667,0.8866072297096252,0.7878051996231079,0.7625383138656616,0.4794442653656006,0.8310437798500061,0.8596657514572144
11,0.8436436653137207,0.7975847721099854,0.3668728172779083,0.001,0.8508776426315308,0.9029893279075623,0.8268791437149048,0.7671912312507629,0.3906407952308655,0.802378237247467,0.8843508362770081
12,0.840201735496521,0.79860919713974,0.36743953824043274,0.001,0.8565906286239624,0.9052497744560242,0.8258914351463318,0.7274644374847412,0.43962380290031433,0.7995278239250183,0.7773549556732178
13,0.8405604958534241,0.8055053949356079,0.3642905354499817,0.001,0.8678261041641235,0.8975605964660645,0.8367844223976135,0.7856667041778564,0.383290559053421,0.8473888039588928,0.890397846698761
14,0.8487242460250854,0.8261340856552124,0.34752702713012695,0.001,0.8927116394042969,0.9245867133140564,0.8326093554496765,0.8152875304222107,0.36444786190986633,0.8863706588745117,0.8992016315460205
15,0.8470911383628845,0.8281810283660889,0.34796276688575745,0.001,0.8944852352142334,0.9221101403236389,0.838503360748291,0.8192941546440125,0.3586727976799011,0.8973582983016968,0.906287431716919
16,0.8499778509140015,0.8321176171302795,0.34346210956573486,0.001,0.9031128883361816,0.9255222678184509,0.8391068577766418,0.8091506361961365,0.3697429299354553,0.8670918941497803,0.9075487852096558
17,0.8528239727020264,0.833686351776123,0.34089967608451843,0.001,0.8961127996444702,0.9306639432907104,0.8357825875282288,0.8218640089035034,0.3608972132205963,0.8910428881645203,0.9086509943008423
18,0.8522220253944397,0.8322851657867432,0.34264200925827026,0.001,0.9038495421409607,0.9288043975830078,0.8306129574775696,0.824336588382721,0.3588244616985321,0.8936558365821838,0.9017635583877563
19,0.8502539992332458,0.8425210118293762,0.3357814848423004,0.001,0.9080204963684082,0.9286970496177673,0.8426043391227722,0.8094826936721802,0.3631862699985504,0.8658263087272644,0.9157983660697937
20,0.8521018028259277,0.8324753642082214,0.3418280780315399,0.001,0.8946586847305298,0.9299702048301697,0.8398577570915222,0.8225497007369995,0.3566723167896271,0.8975984454154968,0.9034705758094788
21,0.8474693894386292,0.8355790376663208,0.3418225944042206,0.001,0.9072962999343872,0.9225322008132935,0.8118088245391846,0.8002344369888306,0.4014876186847687,0.8710734248161316,0.8798856139183044
22,0.8498061895370483,0.842634916305542,0.3372681438922882,0.001,0.9178519248962402,0.9270715117454529,0.7958807349205017,0.813754677772522,0.39852088689804077,0.9052913188934326,0.8825237154960632
23,0.8552048206329346,0.843454122543335,0.33327698707580566,0.001,0.9129116535186768,0.934472382068634,0.8336191177368164,0.8279331922531128,0.3550593852996826,0.9029017686843872,0.9058526754379272
24,0.8584849238395691,0.8545606136322021,0.32449808716773987,0.001,0.9204367399215698,0.9409400224685669,0.8279825448989868,0.8290910720825195,0.35952863097190857,0.9035609364509583,0.9013895988464355
25,0.8532167673110962,0.8461175560951233,0.3329647481441498,0.001,0.9184380769729614,0.9315242767333984,0.8333423137664795,0.8241503238677979,0.3543289303779602,0.8966391682624817,0.9055650234222412
26,0.8573188185691833,0.8516872525215149,0.32662448287010193,0.001,0.9184265732765198,0.9371426105499268,0.8235020041465759,0.8153684139251709,0.3878383934497833,0.8905686736106873,0.9003324508666992
27,0.8537275791168213,0.8517671823501587,0.329684317111969,0.001,0.9290323853492737,0.9331685304641724,0.8403511643409729,0.8296865224838257,0.3595195710659027,0.8944230079650879,0.9126344919204712
28,0.8548475503921509,0.8550481796264648,0.3251674175262451,0.001,0.9230539202690125,0.9344374537467957,0.8328548073768616,0.8301264047622681,0.3605816066265106,0.8952280282974243,0.9080868363380432
29,0.8558733463287354,0.8546912670135498,0.325899600982666,0.001,0.9227874875068665,0.9353141188621521,0.8434976935386658,0.8292730450630188,0.3487342298030853,0.8910247683525085,0.9149819016456604
30,0.8598763942718506,0.8623641133308411,0.3181424140930176,0.001,0.9344066977500916,0.9408250451087952,0.817349374294281,0.8383069038391113,0.3668578565120697,0.9195184707641602,0.9117213487625122
31,0.85294508934021,0.8555572032928467,0.32696178555488586,0.001,0.9273660778999329,0.9322465062141418,0.8371787071228027,0.8261093497276306,0.3543577492237091,0.8948344588279724,0.9112658500671387
32,0.8576185703277588,0.8603560924530029,0.3207269608974457,0.001,0.9330191016197205,0.9391161799430847,0.8397930264472961,0.8362935185432434,0.35088101029396057,0.9027895927429199,0.9152196645736694
33,0.8602705001831055,0.8668866157531738,0.31454557180404663,0.001,0.9427788257598877,0.9413887858390808,0.830491840839386,0.8381586074829102,0.35233983397483826,0.9165430068969727,0.910597562789917
34,0.8579946756362915,0.8576037883758545,0.3232097029685974,0.001,0.929419994354248,0.9388658404350281,0.8385924100875854,0.8301702737808228,0.3541545569896698,0.8967458605766296,0.9152016639709473
35,0.8601009249687195,0.8652793169021606,0.31596440076828003,0.001,0.9350774884223938,0.9415506720542908,0.8296375274658203,0.8355711698532104,0.37220779061317444,0.9109065532684326,0.9167787432670593
36,0.8516951203346252,0.85531085729599,0.3279435932636261,0.001,0.9381408095359802,0.9287557005882263,0.8439063429832458,0.8366898894309998,0.3474750518798828,0.9055120348930359,0.9204133152961731
37,0.8614792823791504,0.8637185096740723,0.3171369433403015,0.001,0.9367806315422058,0.9428854584693909,0.8333999514579773,0.8410115242004395,0.3539436459541321,0.9144721031188965,0.9143295288085938
